text,category
India won the cricket match,Sports
The football team scored a goal,Sports
Stock market prices increased today,Business
The company announced quarterly profits,Business
Government passed a new law,Politics
The election results were announced,Politics
New smartphone launched with AI features,Technology
Scientists developed a new AI model,Technology
Team won the championship,Sports
Business growth increased this year,Business
Prime minister addressed the nation,Politics
New software update released,Technology
