text,category
India defeated Australia in a cricket series,Sports
The football club won the league match,Sports
Tennis player won the grand slam,Sports
Basketball team qualified for the finals,Sports
Olympic games will begin next month,Sports
The captain scored a century in the match,Sports
The team celebrated a historic victory,Sports
The coach announced the playing eleven,Sports
Fans gathered to watch the final match,Sports
The striker scored the winning goal,Sports
The stock market saw heavy gains today,Business
Company announced a rise in quarterly profits,Business
Business merger created a new giant firm,Business
Share prices declined after inflation report,Business
The startup received major funding,Business
The company expanded operations overseas,Business
Investors showed confidence in the market,Business
The firm reported losses this quarter,Business
New business strategy improved revenue,Business
Corporate earnings exceeded expectations,Business
Government passed a new education policy,Politics
Parliament discussed the budget session,Politics
The election campaign started nationwide,Politics
New law was approved by the cabinet,Politics
Prime minister met foreign leaders,Politics
The minister addressed the media today,Politics
The government announced new reforms,Politics
Opposition criticized the new bill,Politics
The president signed the legislation,Politics
Political parties began election rallies,Politics
New AI software was released by the company,Technology
Tech giants are investing in artificial intelligence,Technology
Cyber security software detected new threats,Technology
Smartphone launched with advanced processor,Technology
Machine learning model improved accuracy,Technology
The company released a new mobile app,Technology
Cloud computing services expanded globally,Technology
Researchers developed a neural network,Technology
The latest software update fixed bugs,Technology
Technology firms announced new innovations,Technology
